epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
52,69282.1,0.80977,0.51865,1.21557,0.82766,0.79067,0.83906,0.57925,0.97828,0.75296,1.26713,0.00440507,0.00146836,0.00440507,0.00146836,0.00440507,0.00146836,0.00440507,0.00146836
53,70604.1,0.8063,0.51053,1.21188,0.8292,0.7899,0.83873,0.5789,0.97913,0.74961,1.2693,0.00426527,0.00142176,0.00426527,0.00142176,0.00426527,0.00142176,0.00426527,0.00142176
54,71929.1,0.796,0.50568,1.20578,0.8319,0.78838,0.8375,0.57864,0.97977,0.74718,1.27175,0.00412575,0.00137525,0.00412575,0.00137525,0.00412575,0.00137525,0.00412575,0.00137525
55,73252.7,0.78983,0.5014,1.20222,0.8305,0.78906,0.8368,0.57876,0.98037,0.74562,1.27395,0.00398664,0.00132888,0.00398664,0.00132888,0.00398664,0.00132888,0.00398664,0.00132888
56,74580.8,0.78026,0.48948,1.19297,0.83126,0.78915,0.83676,0.57832,0.98096,0.74401,1.27666,0.00384808,0.00128269,0.00384808,0.00128269,0.00384808,0.00128269,0.00384808,0.00128269
57,75888,0.78223,0.49152,1.19114,0.83258,0.78937,0.83647,0.57805,0.98185,0.74336,1.27924,0.00371022,0.00123674,0.00371022,0.00123674,0.00371022,0.00123674,0.00371022,0.00123674
58,77217.1,0.76824,0.48269,1.18128,0.83171,0.79079,0.83637,0.57774,0.9822,0.74256,1.28123,0.00357317,0.00119106,0.00357317,0.00119106,0.00357317,0.00119106,0.00357317,0.00119106
59,78549.1,0.76528,0.4761,1.17809,0.83198,0.79061,0.83594,0.5773,0.98291,0.74208,1.28364,0.00343709,0.0011457,0.00343709,0.0011457,0.00343709,0.0011457,0.00343709,0.0011457
60,79881.1,0.75591,0.46732,1.17153,0.83284,0.78946,0.83516,0.57704,0.98361,0.74037,1.28626,0.00330209,0.0011007,0.00330209,0.0011007,0.00330209,0.0011007,0.00330209,0.0011007
61,81210.1,0.74778,0.46307,1.16381,0.83295,0.78897,0.83479,0.57657,0.98421,0.73863,1.28871,0.00316833,0.00105611,0.00316833,0.00105611,0.00316833,0.00105611,0.00316833,0.00105611
62,82540.1,0.74666,0.45666,1.16094,0.83425,0.78782,0.8343,0.57617,0.98481,0.73734,1.29121,0.00303592,0.00101197,0.00303592,0.00101197,0.00303592,0.00101197,0.00303592,0.00101197
63,83873.8,0.73242,0.44902,1.15108,0.83274,0.78937,0.83373,0.57578,0.98544,0.73614,1.29368,0.00290501,0.000968335,0.00290501,0.000968335,0.00290501,0.000968335,0.00290501,0.000968335
64,85204.4,0.72578,0.44383,1.1429,0.83192,0.79011,0.83354,0.57546,0.98639,0.73543,1.29654,0.00277571,0.000925235,0.00277571,0.000925235,0.00277571,0.000925235,0.00277571,0.000925235
